,name,state,group,job_type,tags,createdAt,train_loss,train_auroc,train_step_loss,_wandb,val_loss,_timestamp,_step,_runtime,val_auroc,lr,c_th,seed,epochs,layers,act_name,c_metric,head_type,pool_type,batch_size,label_type,model_name,val_dst_path,train_dst_path,mlp_hidden_size,max_val_data_size,max_train_data_size,gradient_accumulation_steps,val_auroc_max,score_func,v_c_type
202,devout-energy-1410,finished,MedQA-USMLE-4-options_long,include,"['seed_42', 'soft']",2024-05-06T08:59:21,0.51209375,0.7865572500448395,0.443359375,{'runtime': 3313},0.5795510912698413,1714989275.927987,1259,3317.253873348236,0.6421619977697428,0.0001,0.3,42,10,all,resid_post,include,mlp_small,last_inp,16,soft,vicuna-13b-v1.1,cached_results/vicuna-13b-v1.1/long/MedQA-USMLE-4-options_validation,cached_results/vicuna-13b-v1.1/long/MedQA-USMLE-4-options_train,,1000,20000,1,0.6476386790312381,,
203,wild-mountain-1408,finished,sciq_long,include,"['seed_42', 'soft']",2024-05-06T08:59:18,0.1051103515625,0.9998505958238544,0.08984375,{'runtime': 779},0.49165271577380953,1714986738.543884,1259,782.0711441040039,0.7910247432306257,0.0001,0.3,42,10,all,resid_post,include,mlp_small,last_ans,16,soft,vicuna-13b-v1.1,cached_results/vicuna-13b-v1.1/long/sciq_validation,cached_results/vicuna-13b-v1.1/long/sciq_train,,1000,20000,1,0.8015156820303879,,
204,celestial-firefly-1404,finished,MedQA-USMLE-4-options_long,include,"['seed_42', 'soft']",2024-05-06T08:57:35,0.4634375,0.7354444908973434,0.31640625,{'runtime': 1914},0.460844494047619,1714987770.083301,1259,1916.3889820575712,0.7056473960821787,0.0001,0.3,42,10,all,resid_post,include,mlp_small,last_inp,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/long/MedQA-USMLE-4-options_validation,cached_results/vicuna-7b-v1.1/long/MedQA-USMLE-4-options_train,,1000,20000,1,0.7092339544513457,,
205,wandering-darkness-1405,finished,MedQA-USMLE-4-options_long,include,"['seed_42', 'soft']",2024-05-06T08:57:38,0.293921875,0.984871726654251,0.166015625,{'runtime': 1943},0.4152870783730158,1714987803.020056,1259,1945.9817531108856,0.8017391304347825,0.0001,0.3,42,10,all,resid_post,include,mlp_small,attn_token_all,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/long/MedQA-USMLE-4-options_validation,cached_results/vicuna-7b-v1.1/long/MedQA-USMLE-4-options_train,,1000,20000,1,0.8034272973403409,,
206,peach-serenity-1395,finished,sciq_long,include,"['seed_42', 'soft']",2024-05-06T08:54:45,0.17407421875,0.9975575122292104,0.1318359375,{'runtime': 482},0.49018787202380953,1714986168.9717717,1259,485.31195759773254,0.8277489166188063,0.0001,0.3,42,10,all,resid_post,include,mlp_small,last_ans,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/long/sciq_validation,cached_results/vicuna-7b-v1.1/long/sciq_train,,1000,20000,1,0.8354761656137419,,
207,classic-grass-1403,finished,MedQA-USMLE-4-options_long,include,"['seed_42', 'soft']",2024-05-06T08:57:35,0.2346796875,0.9896605982288776,0.18359375,{'runtime': 1925},0.4372674851190476,1714987780.8376372,1259,1927.2792072296145,0.7485491320273929,0.0001,0.3,42,10,all,resid_post,include,mlp_small,last_ans,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/long/MedQA-USMLE-4-options_validation,cached_results/vicuna-7b-v1.1/long/MedQA-USMLE-4-options_train,,1000,20000,1,0.749721293199554,,
208,easy-snowball-1396,finished,sciq_long,include,"['seed_42', 'soft']",2024-05-06T08:54:45,0.23024609375,0.9988114605171208,0.22265625,{'runtime': 482},0.4894903273809524,1714986168.776066,1259,485.0906620025635,0.8600045249656276,0.0001,0.3,42,10,all,resid_post,include,mlp_small,attn_token_all,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/long/sciq_validation,cached_results/vicuna-7b-v1.1/long/sciq_train,,1000,20000,1,0.8600045249656276,,
209,sandy-mountain-1402,finished,medmcqa_long,include,"['seed_42', 'soft']",2024-05-06T08:57:04,0.4028203125,0.835364579323089,0.77734375,{'runtime': 675},0.43832155257936506,1714986501.1991117,1259,678.1182196140289,0.6530474840538625,0.0001,0.3,42,10,all,resid_post,include,mlp_small,last_inp,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/long/medmcqa_validation,cached_results/vicuna-7b-v1.1/long/medmcqa_train,,1000,20000,1,0.6589759036144578,,
210,iconic-serenity-1394,finished,coqa_long,include,"['seed_42', 'soft']",2024-05-06T08:54:43,0.551296875,0.852700889165914,0.490234375,{'runtime': 2229},0.6514892578125,1714987914.6120577,1259,2232.1151497364044,0.5771704733076499,0.0001,0.3,42,10,all,resid_post,include,mlp_small,mean_all,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/long/coqa_validation,cached_results/vicuna-7b-v1.1/long/coqa_train,,1000,20000,1,0.5967425701706107,,
211,ethereal-donkey-1393,finished,coqa_long,include,"['seed_42', 'soft']",2024-05-06T08:54:36,0.227109375,0.9972385822531472,0.220703125,{'runtime': 2217},0.5845947265625,1714987895.1083095,1259,2219.873769760132,0.719154168959824,0.0001,0.3,42,10,all,resid_post,include,mlp_small,last_ans,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/long/coqa_validation,cached_results/vicuna-7b-v1.1/long/coqa_train,,1000,20000,1,0.7346071821684095,,
212,fresh-glitter-1390,finished,sciq_long,include,"['seed_42', 'soft']",2024-05-06T08:54:33,0.4843125,0.854253529000699,0.44140625,{'runtime': 469},0.6220548115079365,1714986143.8923404,1259,471.94687938690186,0.6466306409787848,0.0001,0.3,42,10,all,resid_post,include,mlp_small,last_inp,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/long/sciq_validation,cached_results/vicuna-7b-v1.1/long/sciq_train,,1000,20000,1,0.6503941941210254,,
213,lemon-dew-1391,finished,sciq_long,include,"['seed_42', 'soft']",2024-05-06T08:54:33,0.524453125,0.8626001397624039,0.494140625,{'runtime': 467},0.6242559523809523,1714986142.2865753,1259,470.08990240097046,0.6559916636210168,0.0001,0.3,42,10,all,resid_post,include,mlp_small,mean_all,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/long/sciq_validation,cached_results/vicuna-7b-v1.1/long/sciq_train,,1000,20000,1,0.6593897387702535,,
214,clean-terrain-1392,finished,coqa_long,include,"['seed_42', 'soft']",2024-05-06T08:54:36,0.4333359375,0.9330687460513316,0.310546875,{'runtime': 2231},0.6387939453125,1714987908.097258,1259,2233.44752907753,0.6461199779856907,0.0001,0.3,42,10,all,resid_post,include,mlp_small,last_inp,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/long/coqa_validation,cached_results/vicuna-7b-v1.1/long/coqa_train,,1000,20000,1,0.6515547605943863,,
215,comic-frost-1388,finished,coqa_long,include,"['seed_42', 'soft']",2024-05-06T08:54:29,0.25703125,0.9980839683004082,0.1884765625,{'runtime': 2254},0.55810546875,1714987925.0137637,1259,2256.516931772232,0.7755228398459,0.0001,0.3,42,10,all,resid_post,include,mlp_small,attn_token_all,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/long/coqa_validation,cached_results/vicuna-7b-v1.1/long/coqa_train,,1000,20000,1,0.7851369014859659,,
216,grievous-transport-1386,finished,triviaqa_short,rougel,"['seed_777', 'soft']",2024-05-05T12:55:20,0.38415625,0.957000328001312,0.486328125,{'runtime': 942},0.5847594246031746,1714914662.712424,1259,944.1013269424438,0.7762965873372251,0.0001,0.3,777,10,all,resid_post,rougel,mlp_small,last_ans,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/short/triviaqa_validation,cached_results/vicuna-7b-v1.1/short/triviaqa_train,,1000,20000,1,0.787618673423568,,
217,old-jawa-1387,finished,MedQA-USMLE-4-options_short,include,"['seed_777', 'soft']",2024-05-05T12:57:48,0.4524765625,0.8588182655612582,0.439453125,{'runtime': 1688},0.56640625,1714915557.4187822,1259,1690.5682473182678,0.6158806416586425,0.0001,0.3,777,10,all,resid_post,include,mlp_small,last_inp,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/short/MedQA-USMLE-4-options_validation,cached_results/vicuna-7b-v1.1/short/MedQA-USMLE-4-options_train,,1000,20000,1,0.6403090491897317,,
218,feasible-pine-1389,finished,triviaqa_long,include,"['seed_42', 'soft']",2024-05-06T08:54:31,0.6229375,0.7704367078538473,0.56640625,{'runtime': 1089},0.6439112103174603,1714986761.3074207,1259,1091.2992696762085,0.6907311349347928,0.0001,0.3,42,10,all,resid_post,include,mlp_small,mean_all,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/long/triviaqa_validation,cached_results/vicuna-7b-v1.1/long/triviaqa_train,,1000,20000,1,0.6916079253191084,,
219,clone-cantina-1384,finished,MedQA-USMLE-4-options_long,rougel,"['seed_777', 'soft']",2024-05-05T12:40:09,0.3219375,0.7953211303789339,0.306640625,{'runtime': 1924},0.32796999007936506,1714914734.3587277,1259,1926.0286436080933,0.7340504860804242,0.0001,0.3,777,10,all,resid_post,rougel,mlp_small,last_inp,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/long/MedQA-USMLE-4-options_validation,cached_results/vicuna-7b-v1.1/long/MedQA-USMLE-4-options_train,,1000,20000,1,0.7340504860804242,,
220,light-parsec-1382,finished,MedQA-USMLE-4-options_long,include,"['seed_777', 'soft']",2024-05-05T12:40:00,0.2673173828125,0.9934301242826192,0.203125,{'runtime': 1927},0.41496155753968256,1714914727.8193808,1259,1929.2006046772003,0.8058703615225354,0.0001,0.3,777,10,all,resid_post,include,mlp_small,attn_token_all,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/long/MedQA-USMLE-4-options_validation,cached_results/vicuna-7b-v1.1/long/MedQA-USMLE-4-options_train,,1000,20000,1,0.8104761904761905,,
221,star-bantha-1383,finished,MedQA-USMLE-4-options_short,rougel,"['seed_777', 'soft']",2024-05-05T12:40:08,0.2973125,0.9842556326441592,0.388671875,{'runtime': 1688},0.7667720734126984,1714914496.9990149,1259,1690.1058857440948,0.6447345650940322,0.0001,0.3,777,10,all,resid_post,rougel,mlp_small,attn_all_no_first,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/short/MedQA-USMLE-4-options_validation,cached_results/vicuna-7b-v1.1/short/MedQA-USMLE-4-options_train,,1000,20000,1,0.6938634653230253,,
222,rebel-womprat-1381,finished,MedQA-USMLE-4-options_short,include,"['seed_777', 'soft']",2024-05-05T12:39:57,0.26062109375,0.9992183181997631,0.2060546875,{'runtime': 1685},0.5461464533730159,1714914483.453931,1259,1687.1324980258942,0.6912837270287434,0.0001,0.3,777,10,all,resid_post,include,mlp_small,attn_token_all,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/short/MedQA-USMLE-4-options_validation,cached_results/vicuna-7b-v1.1/short/MedQA-USMLE-4-options_train,,1000,20000,1,0.6950277601360348,,
223,legendary-fleet-1378,finished,MedQA-USMLE-4-options_long,include,"['seed_777', 'soft']",2024-05-05T12:36:42,0.062023681640625,0.999885219109878,0.028076171875,{'runtime': 1942},0.5719478546626984,1714914545.359334,1259,1944.642352104187,0.7634400382226469,0.0001,0.3,777,10,all,resid_post,include,mlp_small,attn_all_no_first,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/long/MedQA-USMLE-4-options_validation,cached_results/vicuna-7b-v1.1/long/MedQA-USMLE-4-options_train,,1000,20000,1,0.7918362796623666,,
